Image Name,Main Color 1,Main Color 1 %,Main Color 2,Main Color 2 %,Main Color 3,Main Color 3 %,Unique Color Count,Average Color
1230067818418785.jpg,"[95, 115, 172]",21.38,"[38, 37, 65]",32.75,"[243, 244, 247]",7.08,4733,"[105.04301111111111, 96.69113333333334, 120.23864444444445]"
1234257724375317.jpg,"[207, 41, 56]",7.27,"[183, 179, 189]",14.21,"[29, 39, 78]",37.37,3788,"[130.09803333333332, 122.35132222222222, 146.48461111111112]"
1236325654030866.jpg,"[3, 25, 68]",39.12,"[216, 198, 195]",7.69,"[34, 52, 104]",32.22,3964,"[71.7589, 69.44847777777778, 94.31676666666667]"
1237230697408750.jpg,"[17, 20, 17]",23.47,"[145, 103, 90]",20.38,"[236, 237, 240]",7.53,4616,"[113.29658888888889, 96.9897, 89.3792111111111]"
1237232764134203.jpg,"[94, 99, 155]",26.93,"[34, 38, 91]",22.28,"[206, 37, 50]",12.1,3524,"[97.13055555555556, 80.41547777777778, 126.05996666666667]"
1239270174187357.jpg,"[216, 213, 237]",21.98,"[63, 78, 146]",22.16,"[244, 184, 26]",8.15,4904,"[123.61747777777778, 123.98438888888889, 151.9991222222222]"
1240318557328932.jpg,"[242, 239, 239]",10.85,"[115, 90, 77]",14.31,"[182, 131, 94]",26.19,4706,"[105.37994444444445, 89.91367777777778, 83.59562222222222]"
1242843836713543.jpg,"[199, 201, 207]",14.36,"[207, 37, 48]",12.71,"[37, 46, 87]",7.26,2911,"[203.99915555555555, 182.78933333333333, 190.1027]"
1244908683521350.jpg,"[56, 56, 99]",31.92,"[245, 246, 248]",8.34,"[17, 20, 49]",21.27,4918,"[93.41871111111111, 83.528, 111.38678888888889]"
1251562392652663.jpg,"[20, 42, 103]",25.51,"[254, 254, 254]",65.84,"[119, 127, 152]",3.43,973,"[187.27386666666666, 189.57181111111112, 206.79166666666666]"
1247294506423731.jpg,"[24, 8, 27]",38.67,"[200, 163, 176]",14.13,"[148, 102, 124]",15.69,4766,"[111.67243333333333, 85.51513333333334, 104.55555555555556]"
1250950535934473.jpg,"[118, 41, 54]",19.95,"[241, 236, 236]",9.2,"[18, 27, 74]",39.21,4100,"[82.21472222222222, 72.01101111111112, 106.00638888888889]"
1253460526013638.jpg,"[121, 92, 77]",14.36,"[18, 21, 29]",29.95,"[242, 240, 240]",10.79,4706,"[105.37994444444445, 89.91367777777778, 83.59562222222222]"
1253750212456706.jpg,"[57, 76, 158]",41.67,"[158, 124, 128]",6.58,"[227, 228, 227]",7.45,2976,"[97.88573333333333, 68.736, 113.01998888888889]"
1254991052178285.jpg,"[246, 189, 17]",3.66,"[82, 75, 84]",40.92,"[226, 197, 190]",7.46,4860,"[97.72862222222223, 85.88421111111111, 86.85656666666667]"
1254325989281454.jpg,"[198, 157, 148]",7.56,"[48, 58, 85]",18.35,"[212, 237, 246]",33.94,4505,"[112.764, 124.2577, 139.97756666666666]"
1258905405101335.jpg,"[41, 56, 108]",35.08,"[220, 209, 208]",7.65,"[4, 27, 71]",38.66,4082,"[71.8887111111111, 75.22922222222222, 94.20512222222223]"
1259951188750844.jpg,"[144, 145, 202]",25.55,"[23, 33, 58]",22.49,"[245, 185, 26]",8.31,4806,"[123.33383333333333, 123.49634444444445, 150.41825555555556]"
1259261995453033.jpg,"[35, 39, 75]",40.14,"[204, 176, 169]",7.58,"[94, 108, 158]",38.93,3827,"[93.34751111111112, 93.24614444444444, 126.76213333333334]"
1260333288461032.jpg,"[20, 22, 53]",26.34,"[89, 107, 155]",20.78,"[228, 217, 215]",11.13,4636,"[72.03007777777778, 73.16376666666666, 110.96323333333333]"
